date,volume_usd,whale_volume_usd,tx_count
2026-02-01,12000000,4500000,8200
2026-02-02,13500000,5200000,9100
2026-02-03,9800000,3000000,7600
2026-02-04,15000000,7000000,10200
2026-02-05,17000000,8200000,11500
2026-02-06,11000000,3500000,8300
2026-02-07,14000000,6000000,9700
2026-02-08,18000000,9000000,12000
2026-02-09,16000000,7500000,10800
2026-02-10,13000000,5000000,8900
2026-02-11,12500000,4800000,8700
2026-02-12,19000000,9500000,12500
2026-02-13,21000000,11000000,14000
2026-02-14,17500000,8200000,11800
2026-02-15,15500000,7000000,10500
